project,KRs,category,complexity,created,dependencies,objectives,pillars (initiatives),priority,status,target date,timeEffort
define book timeline,,Career/Work,,"February 11, 2025 10:37 PM",,,,"important, urgent",done,,
plan writing snippets,,Career/Work,,"February 11, 2025 10:37 PM",,,,"important, urgent",deleted/canceled,,
trip recap/PR plan,,Career/Work,,"February 11, 2025 10:38 PM",,,,"important, urgent",triage,,
see colleagues,,Career/Work,,"February 12, 2025 2:19 PM",,,,"important, urgent",triage,,
update Calendar,,Career/Work,,"February 15, 2025 8:31 PM",,,,"important, urgent",done,,
