project,KRs,category,complexity,created,dependencies,objectives,pillars (initiatives),priority,status,target date,timeEffort
Connect with YCM WQL/harddrive,,Community/Friends,,"October 29, 2021 3:11 PM",,,,,done,,
coordinate Colleen hang,,Community/Friends,,"February 11, 2025 11:50 AM",,,,urgent,done,,
connect with Chinese friends,,Community/Friends,,"February 11, 2025 12:02 PM",,,,"important, urgent",inProgress,,
create friends list,,Community/Friends,,"February 11, 2025 12:08 PM",,,,,backlog,,
see BoCo friends,,Community/Friends,,"February 11, 2025 12:33 PM",,,,"important, urgent",inProgress,,
see noBoCo friends,,Community/Friends,,"February 11, 2025 12:36 PM",,,,"important, urgent",inProgress,,
